market_ids,product_ids,shares,prices,x,demand_instruments0,demand_instruments1,demand_instruments2,demand_instruments3,demand_instruments4,demand_instruments5,firm_ids,el_1,el_2,el_3,el_4,el_5,el_6,own_elasticity
1,1,0.0099,0.000277852,-0.210972888,-6.363361128,-5.509449307,-5.371022041,-1.583636966,-1.937068883,-0.341809911,1,-0.0010512331611672483,0.0003396537783884462,0.0461420630274783,0.02326494785200502,0.0381419791073067,0.02413752748795451,-0.0010512331611672483
1,2,0.2085,0.000457065,-1.557577227,-5.19816104,-4.396036113,-4.265266048,-2.862345628,-3.49809446,-2.330125462,2,9.803951325915993e-06,-0.0006559715441428366,0.016219271564290955,0.07103945273030542,2.387705336500192e-05,3.1378996567103433e-05,-0.0006559715441428366
1,3,0.009,1.016838207,-0.799983823,-0.040835546,0.835758228,-0.520121744,-0.79727145,0.76823828,-0.973295549,3,1.3869198510498133e-05,0.0001688966382267731,-2.128732643385381,0.01476085682376217,0.02944501939665322,0.026523918220462562,-2.128732643385381
1,4,0.0348,0.109472238,-1.338366198,-1.538905084,-1.172699692,0.189447551,-1.798173126,1.519424196,-0.264683662,4,1.679838631537457e-05,0.0017770530462625411,0.03545869047999476,-0.5846731006136717,0.00021139418408639478,0.00024382609174146064,-0.5846731006136717
1,5,0.3661,5.387785919,3.316330263,0.758554857,-0.700469866,0.723864249,-0.370939547,-1.28845587,0.080449083,5,5.3191456930023676e-08,1.1535985348843618e-09,0.00013661429665863905,4.082876237980443e-07,-0.1387949197904857,0.04670090520414241,-0.1387949197904857
1,6,0.0231,4.188118546,2.154526537,1.044639456,-0.724283428,-1.325333331,-1.520450473,-0.922601852,1.716676654,6,6.862945613461565e-07,3.0909510777601735e-08,0.00250900253382201,9.601353775612067e-06,0.9521478968746481,-1.4488285965391212,-1.4488285965391212
2,1,0.0078,0.000566978,0.470775629,-5.877976902,-4.017594771,-5.997333383,-1.188867455,-1.869702844,0.298796285,1,-0.0014367533056361096,4.3367562690715176e-05,0.040744932214212146,0.00038577957791413787,0.059076856191019676,0.2571027821724233,-0.0014367533056361096
2,2,0.0296,0.000313199,-0.153134325,-6.248994352,-4.759954697,-5.717769668,-1.218477396,-3.643919483,-1.613446605,2,2.0687773251730987e-05,-0.0011817699728982327,0.41901875374665465,0.0010871471240369148,0.012675850670642776,0.03277155949350888,-0.0011817699728982327
2,3,0.1604,0.72428414,-2.184757396,0.851500792,0.426508902,1.735359371,-0.512458478,-1.094507388,-0.576743071,3,1.5510331165183589e-06,3.343737681022823e-05,-0.7182874876916635,0.0005215964233528565,-1.7354959540397266e-05,-7.549832890276471e-06,-0.7182874876916635
2,4,0.0037,2.620611108,-0.7434705,1.749841219,2.349541848,-0.404193154,0.4232807,-0.86098282,0.153472384,4,1.759526217355964e-07,1.0394320349533914e-06,0.006249476544695955,0.5720800240625065,-0.43532836238513734,-0.19100620087568956,0.5720800240625065
2,5,0.0242,2.230356647,1.565579275,0.058035106,-1.197044482,1.103683917,-0.04278519,0.265751062,-1.586877108,5,4.840480841677895e-06,2.17720594393005e-06,-3.7354872984258364e-05,-0.0782044712246303,-0.23815575867691327,-0.08142727977634251,-0.23815575867691327
2,6,0.3751,2.595815982,3.144749462,-0.181291435,-0.372406932,0.763489362,-0.856581338,0.520253651,0.125024346,6,1.1677412465203348e-06,3.1202415822589935e-07,-9.0080276822849e-07,-0.001902088859822916,-0.0045137618471201785,-0.06557437590156395,-0.06557437590156395
3,1,0.0448,0.000570045,-0.083918204,-6.185826042,-4.484534551,-5.348625794,-4.171404577,-2.460335865,-0.186484089,1,-0.002615191548832035,6.880328157340512e-05,0.0594941320537145,0.004811608929555018,-0.016738961268448697,-0.002592454598221592,-0.002615191548832035
3,2,0.015,0.002098029,0.394334362,-4.876271915,-2.369495888,-5.239671975,-1.830597005,-1.398015183,-1.00106464,2,5.5833333910831716e-05,-0.0035004879624649246,0.005167023968943734,0.004614923700954053,-0.07377053709841867,-0.01890961095282365,-0.0035004879624649246
3,3,0.0123,0.357972657,-0.478595278,-0.083951585,-0.547574793,0.127608191,-0.536977119,-1.374869588,-0.841375017,3,0.0003450692986376016,3.6930760882718363e-05,-2.002754122053361,0.00536321859479245,-0.01415269435211088,-0.0024083795430876564,-2.002754122053361
3,4,0.0048,1.159818479,-0.304705297,0.487758098,0.007126647,0.505179996,1.970953076,-1.244683067,0.828979642,4,2.2072230132990587e-05,2.608771311173463e-05,0.0042417903886296454,-0.6190424344506051,-0.34904154563110334,-0.07907493276224695,-0.6190424344506051
3,5,0.2604,5.337926608,0.276072246,1.50256871,1.526874808,1.332092033,0.025204295,-0.386191222,-0.286079963,5,-3.075403335053199e-07,-1.6702139750647805e-06,-4.483121571135426e-05,-0.001397960196910307,0.4577991152540538,-0.14491528008383597,0.4577991152540538
3,6,0.0603,2.008018338,0.884967837,1.258552391,-1.614347136,-0.736984731,1.947325984,-0.315866341,0.778691506,6,-5.467808896133458e-07,-4.914737796248536e-06,-8.757797709968867e-05,-0.003635675435123046,-1.6635764814773113,0.6819578566399774,0.6819578566399774
4,1,0.1933,0.000749996,-1.116585666,-5.60434789,-4.062989276,-5.074664492,-1.200897193,-1.203339312,0.859568675,1,-0.0010137557937343572,4.768191716323705e-05,0.005663300042016081,0.00021372975309531938,0.00010358469060621844,7.08283224940487e-05,-0.0010137557937343572
4,2,0.0867,0.004124668,1.214325906,-4.890940088,-5.846208518,-3.726252515,-1.493801141,-1.64284712,-0.747430654,2,1.933020301667933e-05,-0.005267959347095629,0.01404037276467212,0.006341226185075573,0.1462898308086813,0.27180883410092005,-0.005267959347095629
4,3,0.0058,0.73510332,-0.143262569,-0.142532927,-0.356205184,-1.118598378,-1.058017405,0.042927277,0.231918911,3,0.00019256794445966782,0.0011776340526970994,-1.670214757261609,0.014376480491810735,0.037753344888674684,0.05401219284189482,-1.670214757261609
4,4,0.1001,6.316500806,0.206286287,1.344825603,-0.175532267,0.615464999,1.186400852,0.557978009,-1.267683547,4,4.900553692385776e-08,3.5864989313118254e-06,9.694341707897061e-05,5.089808430665386,-0.006224591835401026,-2.458539571684238,5.089808430665386
4,5,0.0232,1.877737339,1.830954388,-0.892452849,0.409829966,0.948184672,0.883077203,-0.611542978,0.634827609,5,3.447176712010394e-07,0.001200879428364672,0.003694953574224284,-0.09034386889210975,-1.0450229487446157,0.5323041824439358,-1.0450229487446157
4,6,0.2882,3.053223149,2.441764215,-1.513400525,1.075820265,0.118235945,-1.610945064,1.749384168,-0.572402783,6,1.1669311533369981e-08,0.00011046358647925991,0.0002617071960281096,-1.7665881516792177,0.02635300733098003,0.7099539927721017,0.7099539927721017
5,1,0.1713,0.005152722,0.27083318,-4.529236718,-4.670216287,-5.939001923,-0.944387071,-1.972994712,-0.319265123,1,-0.011515671070461513,0.00011427717619283179,0.033721601980680714,0.0076506150667629905,0.00765751658278866,0.06165906765322364,-0.011515671070461513
5,2,0.0524,0.000531018,-0.17223481,-6.12138832,-5.163659421,-6.146851378,-1.322135012,-1.847252574,1.592326842,2,0.0036250420247525427,-0.002893477619400618,0.00311290289332836,0.0027806197714991183,0.00047679063446534956,0.006239414707960081,-0.002893477619400618
5,3,0.1839,3.042068941,1.803702148,0.595629037,-1.086085139,-0.269709407,-0.626731678,-0.6635189,1.761759043,3,5.320488290971264e-05,1.5483007405255857e-07,3.1503792699878335,0.0001655970885893045,-3.7557219190963402,0.020852097240867687,3.1503792699878335
5,4,0.0036,0.69398308,0.193691807,-0.800365922,0.995417017,1.838462741,-0.700039199,-0.084250763,-1.317839422,4,0.00270295641986347,3.096925466294772e-05,0.03708105616799973,-0.989635704558761,-0.004642199268412154,0.07128737222371796,-0.989635704558761
5,5,0.157,3.509982222,1.624212338,0.424615036,-0.593331531,1.251008011,-2.283275198,0.062042824,1.345312725,5,1.2265279568931258e-05,2.407485480062202e-08,-3.81276151065972,-2.1046049738067097e-05,4.38396673761048,0.0006488247945658883,4.38396673761048
5,6,0.0343,1.268055825,1.632976154,-0.436648602,-0.324925236,0.76372095,-0.531333174,0.015993375,0.499311643,6,0.0012512916169725825,3.991644802876539e-06,0.26820571605431964,0.004094788694488344,0.008220524228082452,-0.6614226955801431,-0.6614226955801431
6,1,0.0697,0.00181369,-0.009562799,-4.894155034,-5.280128893,-5.917000904,-1.815143568,-2.17564359,0.070906451,1,-0.008495196449144668,0.0019654903489042612,0.012957565952212298,0.011438409867733973,0.016927727656610936,0.020022168821850782,-0.008495196449144668
6,2,0.073,0.004250703,0.233097911,-4.558489798,-5.48704207,-3.199028007,-0.958798662,-2.823564425,-0.762509485,2,0.000800724525138163,-0.013747051908588643,0.012834167121820993,0.035391190230147834,0.049828466519483514,0.05737642057108853,-0.013747051908588643
6,3,0.0043,1.424487501,-0.648853098,1.547642715,-1.260044815,-1.3483816,0.387546695,0.764273765,0.36267346,3,0.0002674189418908992,0.0006501659382387871,-1.6311571082237066,-0.06619201655182808,-0.002633748508318974,-0.028377837940264956,-1.6311571082237066
6,4,0.3387,2.184819975,2.554671084,-0.213073325,-0.663006677,-1.385176469,-1.048425709,0.658103551,-0.050299255,4,1.954027342949511e-06,1.4840479582702181e-05,-0.0005479007012314234,0.05402129659127669,-0.004767010348933151,-0.049307097639999194,0.05402129659127669
